chimei	genus	lat	lon	Geological period	fossil_type	Source
	Alnus	30.3	130.5	Pleistocene	pollen	PANGAEA.785670
	Carpinus	30.3	130.5	Pleistocene	pollen	PANGAEA.785670
	Castanopsis	30.3	130.5	Pleistocene	pollen	PANGAEA.785670
	Quercus	30.3	130.5	Pleistocene	pollen	PANGAEA.785670
	Rhododendron	30.3	130.5	Pleistocene	pollen	PANGAEA.785670
	Salix	30.3	130.5	Pleistocene	pollen	PANGAEA.785670
	Quercus	31.5	130.33	Pleistocene	pollen	PANGAEA.785670
	Viburnum	31.5	130.33	Pleistocene	pollen	PANGAEA.785670
	Rhus	31.8	130.45	Pleistocene	pollen	PANGAEA.785670
	Ulmus	31.8	130.45	Pleistocene	pollen	PANGAEA.785670
	Camellia	31.85	130.95	Pleistocene	pollen	PANGAEA.785670
	Juglans	31.85	130.95	Pleistocene	pollen	PANGAEA.785670
	Acer	31.9	130.85	Pleistocene	pollen	PANGAEA.785670
	Fagus	31.9	130.85	Pleistocene	pollen	PANGAEA.785670
	Symplocos	31.9	130.85	Pleistocene	pollen	PANGAEA.785670
	Ilex	31.93	130.85	Pleistocene	pollen	PANGAEA.785670
	Betula	31.95	130.82	Pleistocene	pollen	PANGAEA.785670
	Corylus	31.95	130.83	Pleistocene	pollen	PANGAEA.785670
	Myrica	32.58	130.5	Pleistocene	pollen	PANGAEA.785670
高知市丸池町	Fagus	33.55	133.5583333	Holocene	pollen	Yamanaka, 1984
高知市丸池町	Quercus	33.55	133.5583333	Holocene	pollen	Yamanaka, 1984
高知市丸池町	Quercus	33.55	133.5583333	Holocene	pollen	Yamanaka, 1984
高知市丸池町	Castanopsis	33.55	133.5583333	Holocene	pollen	Yamanaka, 1984
高知市丸池町	Castanea	33.55	133.5583333	Holocene	pollen	Yamanaka, 1984
高知市丸池町	Helicia	33.55	133.5583333	Holocene	pollen	Yamanaka, 1984
高知市丸池町	Alnus	33.55	133.5583333	Holocene	pollen	Yamanaka, 1984
