Plot.name,Genus,Family,Latitude,Longitude,Geological.period
Yonabaru,Alangium,Cornaceae,26.2,127.75,Miocene
Yonabaru,Alnus,Betulaceae,26.2,127.75,Miocene
Yonabaru,Corylus,Betulaceae,26.2,127.75,Miocene
Yonabaru,Fagus,Fagaceae,26.2,127.75,Miocene
Yonabaru,Lonicera,Caprifoliaceae,26.2,127.75,Miocene
Yonabaru,Quercus,Fagaceae,26.2,127.75,Miocene
Yonabaru,Tilia,Malvaceae,26.2,127.75,Miocene
Yonabaru,Ulmus,Ulmaceae,26.2,127.75,Miocene
Yonabaru,Weigela,Caprifoliaceae,26.2,127.75,Miocene
Yonabaru,Zelkova,Ulmaceae,26.2,127.75,Miocene
Ishado,Alnus,Betulaceae,26.28,127.8,Miocene
Ishado,Carya,Juglandaceae,26.28,127.8,Miocene
Ishado,Castanea,Fagaceae,26.28,127.8,Miocene
Ishado,Liquidambar,Hamamelidaceae,26.28,127.8,Miocene
Ishado,Quercus,Fagaceae,26.28,127.8,Miocene
Kumejima,Alnus,Betulaceae,26.35,126.76,Miocene
Kumejima,Betula,Betulaceae,26.35,126.76,Miocene
Kumejima,Liquidambar,Hamamelidaceae,26.35,126.76,Miocene
Kumejima,Quercus,Fagaceae,26.35,126.76,Miocene
Tanegashima,Acer,Sapindaceae,30.39,130.94,Miocene
Tanegashima,Alnus,Betulaceae,30.39,130.94,Miocene
Tanegashima,Betula,Betulaceae,30.39,130.94,Miocene
Tanegashima,Camellia,Theaceae,30.39,130.94,Miocene
Tanegashima,Carpinus,Betulaceae,30.39,130.94,Miocene
Tanegashima,Castanea,Fagaceae,30.39,130.94,Miocene
Tanegashima,Castanopsis,Fagaceae,30.39,130.94,Miocene
Tanegashima,Celtis,Cannabaceae,30.39,130.94,Miocene
Tanegashima,Cinnamomum,Lauraceae,30.39,130.94,Miocene
Tanegashima,Corylus,Betulaceae,30.39,130.94,Miocene
Tanegashima,Elaeagnus,Elaeagnaceae,30.39,130.94,Miocene
Tanegashima,Fagus,Fagaceae,30.39,130.94,Miocene
Tanegashima,Ilex,Aquifoliaceae,30.39,130.94,Miocene
Tanegashima,Juglans,Juglandaceae,30.39,130.94,Miocene
Tanegashima,Liquidambar,Hamamelidaceae,30.39,130.94,Miocene
Tanegashima,Lithocarpus,Fagaceae,30.39,130.94,Miocene
Tanegashima,Quercus,Fagaceae,30.39,130.94,Miocene
Tanegashima,Rhizophora,Rhizophoraceae,30.39,130.94,Miocene
Tanegashima,Rhus,Anacardiaceae,30.39,130.94,Miocene
Tanegashima,Salix,Salicaceae,30.39,130.94,Miocene
Tanegashima,Sonneratia,Lythraceae,30.39,130.94,Miocene
Tanegashima,Sorbus,Rosaceae,30.39,130.94,Miocene
Tanegashima,Styrax,Styracaceae,30.39,130.94,Miocene
Tanegashima,Tilia,Malvaceae,30.39,130.94,Miocene
Tanegashima,Viburnum,Adoxaceae,30.39,130.94,Miocene
