clusters	lat	lon
2	41	140
2	42	139
2	42	140
2	42	141
2	42	142
1	42	143
1	42	144
2	43	140
2	43	141
0	43	142
0	43	143
1	43	144
1	43	145
0	44	141
0	44	142
0	44	143
1	44	144
1	44	145
0	45	141
0	45	142
16	30	130
16	30	131
16	31	129
16	31	130
16	31	131
15	32	129
16	32	130
16	32	131
14	32	132
15	33	129
15	33	130
15	33	131
14	33	132
13	33	133
13	33	134
12	33	135
12	33	136
15	34	129
15	34	130
11	34	131
11	34	132
11	34	133
13	34	134
12	34	135
12	34	136
10	34	137
10	34	138
10	34	139
11	35	132
11	35	133
9	35	134
9	35	135
8	35	136
8	35	137
10	35	138
10	35	139
7	35	140
8	36	136
8	36	137
6	36	138
7	36	139
7	36	140
8	37	136
8	37	137
6	37	138
6	37	139
7	37	140
7	37	141
6	38	138
6	38	139
5	38	140
5	38	141
4	39	139
5	39	140
5	39	141
4	40	139
4	40	140
3	40	141
3	41	141
