rn	Oligocene	Miocene	Pliocene	Pleistocene	LastGlacial	Holocene	Present
Intercept	-0.93514966504718	-0.25809962633313	-0.417524149572721	-0.251861692209002	-0.106105885452855	-0.182189003271017	0.0143709306032789
std.error	0.162765361598445	0.0355252614445721	0.0483353421392838	0.0532745721542307	0.0463199205008968	0.0387911052038662	0.00686416062304522
t-value	-5.74538498771176	-7.26524213582009	-8.63807166957828	-4.72761548379702	-2.29071821163424	-4.69666956673509	2.09361805360891
p-value	1.84460263085922e-06	6.36012361548235e-10	1.08553647150196e-11	1.29053312858248e-05	0.0283038983766305	2.7156298661238e-05	0.0402610998050396
Spatial distance (x1000)	0.000117070007931035	-3.04441457455566e-05	4.42527591259984e-05	1.5253135086487e-05	-0.000142076021437987	-0.00010046972549689	-0.000151042794399512
std.error	0.00017745413086441	4.45089857040111e-05	6.13431900128815e-05	6.55097831937585e-05	6.63405652183684e-05	5.67629839169832e-05	9.03593130955144e-06
t-value	0.659719823713128	-0.683999989305823	0.721396443789534	0.232837514381214	-2.1416160831661	-1.76998668082406	-16.7157971021595
p-value	0.513877995703468	0.496444445494278	0.473836130788681	0.816630617104364	0.0394749387768582	0.0838197695532839	4.91892088896319e-25
Pseudo-R2	0.0113394051	0.0072633984	0.0096721032	0.0008371443	0.1224666165	0.0689443903	0.8222649861
AIC	  -9.760931	-102.108311	 -70.909779	 -44.405778	 -51.525333	 -75.490063	-291.983980
