rn	Oligocene	Miocene	Pliocene	Pleistocene	LastGlacial	Holocene	Present
Intercept	-0.83765204874558	-0.286840560800638	-0.385113199115483	-0.251220250600871	-0.115560297388056	-0.202058230397853	-0.044458215063804
std.error	0.0864776056943268	0.0193630167532855	0.0327223431272123	0.0404210928840852	0.0385622917349377	0.0290248308358341	0.00957540397516096
t-value	-9.68634644796292	-14.8138363177301	-11.7691204941622	-6.21507813559843	-2.99671757535502	-6.96156444599814	-4.64295973090333
p-value	2.62143151369503e-11	2.34072294141069e-22	2.09045204919479e-16	4.32902466726718e-08	0.00506818110855868	1.46271525645575e-08	1.75507149108896e-05
Climatic distance	-0.0105366015975457	0.0138962891709778	-0.0033535478958661	0.00905995135951141	-0.0624995652170983	-0.0385065490477248	-0.0431368852028413
std.error	0.0602265038127099	0.0144114215725265	0.0266913807312117	0.0272674986748941	0.0256877930843785	0.0211568805758047	0.00702680399158752
t-value	-0.174949580840887	0.964255268020837	-0.125641604293052	0.332261916193037	-2.43304533837537	-1.82004851375687	-6.13890543332142
p-value	0.86215694512679	0.338547392720601	0.900491019997015	0.740777283383505	0.0203835416924562	0.0757170095431966	5.85492647652686e-08
Pseudo-R2	0.0007632844	0.0152871546	0.0003054444	0.0017791648	0.1425742498	0.0708270679	0.3723108370
AIC	  -9.377869	-102.643921	 -70.392026	 -44.468033	 -52.359827	 -75.581149	-208.708392
