rn	Oligocene	Miocene	Pliocene	Pleistocene	LastGlacial	Holocene	Present
Intercept	-0.897077260679126	-0.273296496129607	-0.521747110075433	-0.424815002978677	0.273702445680562	0.120572870295776	0.458368786345204
std.error	0.705868062078193	0.150023672063101	0.252307916002148	0.224455327626986	0.194766962998234	0.149246506482564	0.0375963801869602
t-value	-1.27088518219394	-1.82168915326013	-2.06789829801056	-1.89264833884746	1.4052816836449	0.807877337550023	12.1918329388578
p-value	0.21060209430423	0.0710351227001789	0.0435458430412498	0.0616549152748195	0.167121531740068	0.422153851386817	1.80958825284388e-23
Spatial distance (x1000)	0.000870372865065409	-0.00656270294344898	0.0212071484894433	0.0300971418314291	-0.0771061199602588	-0.0607029063037428	-0.0867225186215851
std.error	0.107585229036497	0.0236364745758969	0.0397013678852374	0.0348288634063806	0.0314042840240882	0.0241666039687739	0.00593795850730248
t-value	0.00809007772591299	-0.277651513654293	0.534166695483783	0.864143669583984	-2.45527393336259	-2.51185091551043	-14.6047700594294
p-value	0.993582540040882	0.781765751381121	0.595459822012764	0.389831998193241	0.0181972471453448	0.0145432587685079	1.69945527400233e-29
Pseudo-R2	1.420233e-06	6.569080e-04	5.302791e-03	8.248692e-03	1.235986e-01	8.886498e-02	6.174302e-01
AIC	 -17.66340	-163.43785	 -70.66765	 -60.81226	 -68.47412	-124.81378	-474.72503
