rn	Oligocene	Miocene	Pliocene	Pleistocene	LastGlacial	Holocene	Present
Intercept	-0.908626741185828	-0.31586641165132	-0.373158379320758	-0.267008408740358	-0.140340516328705	-0.204774055073186	-0.0083140054223393
std.error	0.116445652910583	0.0228237206420108	0.0394922857103893	0.0400091990655949	0.0332570470336034	0.0241375502101879	0.00644845867155615
t-value	-7.80301126297561	-13.8393917716429	-9.44889293208446	-6.67367542905817	-4.2198730448588	-8.48363041360992	-1.28930118743134
p-value	9.02876507062786e-10	1.80629512893697e-26	5.87822168531876e-13	2.05985361481388e-09	0.000123879220803509	4.53943387446993e-12	0.199514483312275
Climatic distance	0.00453360496768114	0.00039415781494709	-0.00470880678961459	0.00808818632885908	-0.0145889050807582	-0.0136180828902724	-0.0207235359417941
std.error	0.0243059940242127	0.0061359140446064	0.0100791248713835	0.00756506368592889	0.00627934365632193	0.00550766174175213	0.00136827541333419
t-value	0.186522096696187	0.0642378318994809	-0.467184090851357	1.06914980027243	-2.32331687501613	-2.47257067133178	-15.1457343600842
p-value	0.852912571209591	0.948889550415996	0.642283244861689	0.287893368457203	0.0249588859256847	0.0160821348082677	8.06120585482589e-31
Pseudo-R2	7.600998e-04	3.500262e-05	4.146520e-03	1.239199e-02	1.150766e-01	8.981085e-02	6.442677e-01
AIC	 -17.69755	-163.36319	 -70.60376	 -61.19323	 -68.03866	-124.88233	-484.61668
