rn	Oligocene	Miocene	Pliocene	Pleistocene	LastGlacial	Holocene	Present
Intercept	-0.157343206240787	-0.233744586786973	-0.197384481428131	-0.132074018932799	-0.272727844340385	-0.110082434778711	0.000244119057391509
std.error	0.0462184074372269	0.0382491286670839	0.0477449146818825	0.0471439922035169	0.0530000193439772	0.0205048419991419	0.0135740049031648
t-value	-3.40434071542789	-6.11110879992742	-4.13414669904167	-2.8015026466712	-5.14580650566077	-5.36860682873431	0.0179843059681372
p-value	0.00144664819256431	1.31287660137589e-08	0.000127531270711986	0.00624015271967795	6.27079766047144e-06	1.1761908668794e-06	0.985678123792767
Spatial distance (x1000)	2.48434207825706e-05	-1.27979812640546e-05	-3.07790740386887e-05	-0.000241655526787951	0.000108071479878334	2.43599024762771e-05	-0.0002195066974795
std.error	4.85942491840675e-05	4.96929432725457e-05	6.34014086952237e-05	6.28137750606977e-05	7.26900585359076e-05	3.06837346926584e-05	1.81459069829725e-05
t-value	0.511241992616607	-0.257541220568538	-0.485463567326185	-3.84717407215912	1.48674360779265	0.79390278661566	-12.0967608665402
p-value	0.611796871937077	0.797209583220679	0.629348408083949	0.000224294583126327	0.144378849237027	0.430185867269816	3.1467216940954e-23
Pseudo-R2	0.006085272	0.000563289	0.004426180	0.154600926	0.047853109	0.009770662	0.537327733
AIC	 -51.53749	 -87.89221	 -52.59748	 -54.93425	 -44.35352	-152.19960	-328.61313
