rn	Oligocene	Miocene	Pliocene	Pleistocene	LastGlacial	Holocene	Present
Intercept	-1.39256031651188	-0.636484394764841	-0.728427035538281	-0.450797167164625	-0.437031068393221	-0.332360100298474	0.0327213334999546
std.error	0.112706904467013	0.037087549642384	0.0550819063109372	0.0440758522725419	0.0423107615276133	0.0308797787614799	0.012996593255388
t-value	-12.3555901308553	-17.1616728768045	-13.2244340169767	-10.22775837384	-10.3290759280709	-10.7630337272062	2.51768543163335
p-value	9.68587636042867e-16	7.35191839062648e-34	2.02620440240322e-18	1.08541961708629e-16	3.20143180184627e-13	5.37371932018075e-16	0.012990486824006
Spatial distance (x1000)	0.000151799276717875	-4.13102117195714e-05	1.0098901212511e-06	-0.000256615759980235	-4.67916044945615e-05	-8.33753150372949e-05	-0.000434084454631109
std.error	0.000112246127364599	4.87335999811002e-05	7.21732366080607e-05	5.91168090882863e-05	6.12626101467776e-05	4.78995162893267e-05	1.90585768158361e-05
t-value	1.35237874376547	-0.847674124948542	0.0139925846298864	-4.34082562874798	-0.763787314684351	-1.74062958243011	-22.776331035926
p-value	0.18332392304033	0.398335584464417	0.988888437657161	3.74356835781732e-05	0.449164773450044	0.0865545261008227	6.51821305969168e-48
Pseudo-R2	3.817170e-02	6.117934e-03	3.666821e-06	1.877565e-01	1.343170e-02	4.600969e-02	8.194477e-01
AIC	 -75.59106	-195.46846	 -93.32483	-126.63806	 -85.87620	-134.17906	-361.53721
