rn	Oligocene	Miocene	Pliocene	Pleistocene	LastGlacial	Holocene	Present
Intercept	-0.156778165628836	-0.242287648063063	-0.230207465023173	-0.15081812228694	-0.258737246220488	-0.109501844125647	-0.00551713752304951
std.error	0.0375692950536196	0.0290691353095583	0.0394938571340538	0.0407853148160129	0.0450163906720929	0.0170576959025943	0.00959157862009801
t-value	-4.17303985621981	-8.33487633818252	-5.82894358081514	-3.69785357713426	-5.74762308478204	-6.4194979644931	-0.575206411954859
p-value	0.000143405438789835	1.63207366177126e-13	3.38407919101803e-07	0.000375605293207498	8.50480034940928e-07	1.91834798630485e-08	0.566116299876472
Climatic distance	0.00524108205928506	-5.17818537484925e-06	0.0040179248146567	-0.0366769663505007	0.0114022123569575	0.00363818557587364	-0.0364350941207005
std.error	0.0078250507274234	0.00782596825927673	0.00978350181007315	0.00893492215510296	0.00766775819275425	0.00367648456964222	0.00214551172733879
t-value	0.669782502612711	-0.00066166705553797	0.410683709438253	-4.10490049200412	1.48703337668266	0.98958271331129	-16.9820065098844
p-value	0.506577418950026	0.999473183417467	0.682960154439156	8.94918779927605e-05	0.144302564618329	0.326104776987822	3.25298154885062e-35
Pseudo-R2	1.043369e-02	3.703727e-09	3.171878e-03	1.729757e-01	4.841323e-02	1.500589e-02	6.986385e-01
AIC	 -51.73480	 -87.82460	 -52.52823	 -56.93395	 -44.38000	-152.54946	-386.91749
