rn	Oligocene	Miocene	Pliocene	Pleistocene	LastGlacial	Holocene	Present
Intercept	-1.35513189627053	-0.665559509508895	-0.728510090273807	-0.469065088847179	-0.45056249739874	-0.341882360399551	-0.0027617718302537
std.error	0.0927627307344159	0.0284027616563351	0.045278436128963	0.0378065987581199	0.0360975661281597	0.0255492960316891	0.00860771585291212
t-value	-14.6085813293955	-23.4329153468231	-16.0895594582562	-12.4069634469944	-12.4817971327783	-13.3812829901658	-0.32084839665326
p-value	2.80584274824323e-18	3.3135133875148e-46	4.78037497253489e-22	4.1315290572934e-21	6.86788926644711e-16	3.2823834761555e-20	0.748825122416408
Climatic distance	0.0231910210283165	0.000552006810357038	0.000238284737471108	-0.0393652443371541	-0.00327516987615173	-0.0104397264771032	-0.0660116294924555
std.error	0.018327812303099	0.00763152861431868	0.0113622592661044	0.00835777664661178	0.00651440927019422	0.00576865496400252	0.00212700885991911
t-value	1.26534583859718	0.0723324039329859	0.0209715983318523	-4.71001391896643	-0.502757769785331	-1.80973321203105	-31.0349574636778
p-value	0.212561274645576	0.94245983764994	0.98334706751801	9.06845580045959e-06	0.617699982628872	0.0750329822564288	4.82087523308953e-63
Pseudo-R2	3.431967e-02	4.427730e-05	8.424413e-06	2.156927e-01	5.991241e-03	5.008781e-02	8.952737e-01
AIC	 -75.41120	-194.73737	 -93.32510	-129.82300	 -85.53809	-134.46181	-435.61232
