gridkey,Plio,Pleist,LGP,Holo,current,y,x,Mio,Oligo
-0.3_-11.3,,,21,,,-11.5,-0.5,25.66509399,25.66509399
-0.3_-42.3,9.9,,7.058823529,,,-42.5,-0.5,12.07897339,12.07897339
-0.3_-69.3,-10.69166667,-13.27222222,-19.17222222,-13.29444444,,-69.5,-0.5,-1.195684814,-1.195684814
-0.3_-70.3,-13.38611111,-15.65555556,-20.78703704,-15.8,,-70.5,-0.5,-9.656378174,-9.656378174
-0.3_-71.3,-14.61527778,-16.85277778,-21.51759259,-17.275,,-71.5,-0.5,-9.656378174,-9.656378174
-0.3_-72.3,-20.95277778,-24.5,-29.09351852,-25.28611111,,-72.5,-0.5,-9.656378174,-9.656378174
-0.3_-73.3,-26.97916667,-31.875,-36.76296296,-33.11944444,,-73.5,-0.5,-21.99024048,-21.99024048
-0.3_-74.3,-32.27777778,-37.21388889,-42.77777778,-38.97222222,,-74.5,-0.5,-21.99024048,-21.99024048
-0.3_-75.3,-34.63055556,-38.50277778,-44.95833333,-40.80277778,,-75.5,-0.5,-25.60918274,-25.60918274
-0.3_-76.3,-34.89861111,-37.63888889,-45.07222222,-40.42777778,,-76.5,-0.5,-25.60918274,-25.60918274
-0.3_-77.3,-35.42222222,-37.21111111,-45.71666667,-40.42777778,,-77.5,-0.5,-25.60918274,-25.60918274
-0.3_-78.3,-36.18055556,-37.33611111,-46.80925926,-40.79166667,,-78.5,-0.5,-22.49150696,-22.49150696
-0.3_-79.3,-36.3875,-37.40555556,-47.54537037,-40.89444444,,-79.5,-0.5,-22.49150696,-22.49150696
-0.3_-80.3,-36.01527778,-37.17222222,-47.78425926,-40.55277778,,-80.5,-0.5,-22.49150696,-22.49150696
-0.3_-81.3,-36.40138889,-37.78611111,-48.73333333,-40.94166667,,-81.5,-0.5,-20.27812805,-20.27812805
-0.3_-82.3,-37.93194444,-39.58333333,-50.68703704,-42.38611111,,-82.5,-0.5,-20.27812805,-20.27812805
-0.3_-83.3,-39.52916667,-41.18333333,-52.33981481,-43.51666667,,-83.5,-0.5,-20.27812805,-20.27812805
-0.3_-84.3,-41.9,-42.91944444,-54.15185185,-44.73888889,,-84.5,-0.5,-22.48432007,-22.48432007
-0.3_-85.3,-44.11388889,-44.11111111,-55.43888889,-45.41388889,,-85.5,-0.5,-22.48432007,-22.48432007
-0.3_-86.3,-45.09861111,-44.40555556,-55.8712963,-45.21388889,,-86.5,-0.5,-26.16533508,-26.16533508
-0.3_-87.3,-45.40833333,-44.59166667,-56.25,-44.99722222,,-87.5,-0.5,-26.16533508,-26.16533508
-0.3_-88.3,-45.59583333,-44.88333333,-56.68611111,-45.08333333,,-88.5,-0.5,-26.16533508,-26.16533508
-0.3_10.3,29.64861111,26.65277778,25.71018519,27.30833333,27.85555556,10.5,-0.5,24.98589478,24.98589478
-0.3_11.3,29.78472222,26.65555556,25.66388889,27.38333333,28.19166667,11.5,-0.5,25.96550903,25.96550903
-0.3_12.3,30.07083333,26.68611111,25.64351852,27.54166667,28.15277778,12.5,-0.5,25.96550903,25.96550903
-0.3_13.3,30.35833333,26.80555556,25.60185185,27.70555556,28.45277778,13.5,-0.5,25.96550903,25.96550903
-0.3_14.3,30.88333333,27.33611111,25.83981481,28.18888889,29,14.5,-0.5,26.88970337,26.88970337
-0.3_15.3,31.78472222,28.34722222,26.45833333,29.04722222,29.39166667,15.5,-0.5,26.88970337,26.88970337
-0.3_16.3,31.9375,28.50277778,26.30277778,29.05555556,29.49166667,16.5,-0.5,26.88970337,26.88970337
